acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,warmup_proportion,lr
57.4,52.16,53.54,51.7,0.5209,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-17-56-41,0.1,2e-05
57.94,50.56,52.91,50.55,0.5087,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-18-07-24,0.05,8e-06
57.35,52.17,52.92,52.13,0.5104,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-18-17-19,0.05,1e-05
57.85,53.32,55.81,51.98,0.5204,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-18-29-45,0.05,2e-05
57.5,51.92,53.17,51.52,0.5135,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-18-37-41,0.01,8e-06
57.99,52.14,54.22,51.31,0.5184,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-18-51-01,0.01,1e-05
57.85,51.53,52.38,51.44,0.5262,MIntRec2,text,bert-base-uncased,3.0,text_MIntRec2_multi-class_seed-3_2024-03-06-19-00-10,0.01,2e-05
57.94,51.44,51.6,51.95,0.5099,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-19-10-35,0.1,8e-06
57.55,51.9,52.08,52.23,0.5055,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-19-21-41,0.1,1e-05
57.45,51.46,52.43,51.36,0.5222,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-19-32-57,0.1,2e-05
56.67,50.9,51.8,50.76,0.5147,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-19-43-23,0.05,8e-06
57.6,51.86,52.05,52.02,0.5088,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-19-55-56,0.05,1e-05
56.57,52.46,53.48,52.6,0.5187,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-20-07-16,0.05,2e-05
57.75,51.64,52.15,51.93,0.5072,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-20-15-18,0.01,8e-06
56.76,51.13,52.17,50.82,0.512,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-20-24-31,0.01,1e-05
56.52,50.83,52.9,50.29,0.5216,MIntRec2,text,bert-base-uncased,4.0,text_MIntRec2_multi-class_seed-4_2024-03-06-20-36-14,0.01,2e-05
57.94,51.99,53.05,51.84,0.5096,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-20-45-57,0.1,8e-06
57.89,51.81,52.54,51.6,0.511,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-21-01-40,0.1,1e-05
56.47,51.2,51.57,51.54,0.5175,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-21-14-37,0.1,2e-05
57.3,51.81,52.05,51.96,0.5121,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-21-26-00,0.05,8e-06
57.16,51.1,51.96,50.87,0.5212,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-21-42-20,0.05,1e-05
56.12,50.65,52.05,50.54,0.519,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-21-57-36,0.05,2e-05
57.65,52.13,52.7,52.11,0.5217,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-22-07-52,0.01,8e-06
58.14,52.31,52.49,52.61,0.519,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-22-21-39,0.01,1e-05
55.29,49.53,50.3,49.47,0.5234,MIntRec2,text,bert-base-uncased,5.0,text_MIntRec2_multi-class_seed-5_2024-03-06-22-30-16,0.01,2e-05

